Order_ID,Date,Customer_Name,Gender,City,Product_Category,Product_Name,Quantity,Price,Discount (%),Payment_Mode,Rating
1001,2/24/2025,Neha,Female,Nashik,Electronics,Keyboard,5,600.09,5,Card,3
1002,02-11-2025,Sameer,Female,Nagpur,Electronics,Mouse,4,1517.93,2,Cash,5
1003,1/23/2025,Anjali,Female,Nashik,Grocery,Oil,3,178.18,13,Card,3
1004,1/13/2025,Neha,Female,Mumbai,Grocery,Sugar,2,2271.31,26,UPI,3
1005,1/13/2025,Amit,Male,Mumbai,Grocery,Sugar,1,861.22,10,Cash,4
1006,1/15/2025,Amit,Female,Delhi,Electronics,Headphones,2,2700.47,8,Card,3
1007,1/22/2025,Rahul,Female,Nagpur,Clothing,Jeans,4,4446.2,1,Card,4
1008,2/20/2025,Pooja,Female,Mumbai,Grocery,Wheat,3,740.76,2,Card,5
1009,2/21/2025,Neha,Female,Mumbai,Electronics,Keyboard,2,1475.69,20,Card,4
1010,2/25/2025,Rohan,Male,Mumbai,Grocery,Sugar,3,3365.03,19,Cash,3
1011,02-05-2025,Kiran,Female,Nashik,Grocery,Oil,4,4188.33,25,Cash,3
1012,1/28/2025,Pooja,Male,Delhi,Electronics,Charger,4,2553.54,18,Card,4
1013,02-03-2025,Anjali,Female,Mumbai,Grocery,Oil,4,2935.98,9,UPI,4
1014,2/24/2025,Sameer,Male,Nashik,Clothing,Jeans,2,3533.6,10,Cash,5
1015,2/24/2025,Sameer,Female,Pune,Grocery,Rice,1,779.54,21,Card,3
1016,1/22/2025,Sameer,Male,Nagpur,Clothing,Jeans,2,2382.26,0,Card,4
1017,2/18/2025,Neha,Female,Nashik,Grocery,Oil,5,1774.62,22,Cash,4
1018,02-07-2025,Kiran,Male,Pune,Clothing,Jeans,3,3129.53,28,Card,3
1019,1/15/2025,Pooja,Male,Nashik,Grocery,Rice,2,2097.17,0,UPI,3
1020,1/30/2025,Pooja,Male,Pune,Electronics,Mouse,1,1226.02,20,Card,3
1021,1/23/2025,Sameer,Female,Nagpur,Grocery,Rice,2,269,30,Card,3
1022,01-10-2025,Sneha,Male,Mumbai,Grocery,Rice,1,4129.96,1,Cash,5
1023,1/24/2025,Priya,Male,Pune,Electronics,Mouse,1,3978.28,21,Card,4
1024,2/26/2025,Pooja,Female,Nashik,Electronics,Keyboard,4,4224.97,3,Cash,3
1025,02-09-2025,Kiran,Male,Nashik,Grocery,Rice,1,4376.9,21,Cash,4
1026,1/31/2025,Rohan,Female,Delhi,Electronics,Charger,1,3753.8,23,Card,5
1027,1/20/2025,Sameer,Male,Nashik,Electronics,Keyboard,4,3958.83,13,Cash,5
1028,1/28/2025,Rohan,Female,Delhi,Electronics,Headphones,1,1204.98,7,Card,4
1029,1/30/2025,Priya,Male,Delhi,Electronics,Charger,3,4813.65,2,Card,4
1030,1/15/2025,Priya,Female,Mumbai,Clothing,Kurti,1,136.64,13,UPI,3
1031,01-09-2025,Kiran,Male,Mumbai,Grocery,Rice,4,4347.04,12,Cash,5
1032,1/19/2025,Rohan,Male,Mumbai,Clothing,T-Shirt,5,3237.1,19,Card,4
1033,1/24/2025,Anjali,Female,Nagpur,Clothing,Jeans,5,4189.91,18,UPI,4
1034,01-08-2025,Rohan,Male,Nashik,Grocery,Rice,3,1778.54,7,UPI,5
1035,01-08-2025,Rohan,Male,Pune,Clothing,T-Shirt,3,4216.46,0,UPI,5
1036,2/27/2025,Sameer,Male,Nagpur,Grocery,Oil,2,1555.99,30,Card,4
1037,02-02-2025,Amit,Male,Nagpur,Electronics,Charger,5,4383.48,21,Cash,4
1038,1/23/2025,Rahul,Female,Nashik,Electronics,Keyboard,2,2498.15,16,UPI,3
1039,2/27/2025,Pooja,Male,Mumbai,Clothing,Kurti,4,2678.99,15,UPI,3
1040,1/20/2025,Priya,Male,Delhi,Clothing,T-Shirt,5,593.25,11,Cash,5
1041,2/25/2025,Amit,Male,Mumbai,Clothing,Saree,4,3397.43,13,Card,3
1042,01-03-2025,Pooja,Male,Pune,Electronics,Keyboard,4,2924.19,17,UPI,5
1043,1/26/2025,Priya,Male,Mumbai,Electronics,Keyboard,2,3361.96,26,UPI,4
1044,03-02-2025,Priya,Female,Nagpur,Electronics,Charger,5,1046.92,15,Card,5
1045,02-06-2025,Kiran,Female,Nashik,Clothing,Kurti,4,1288.42,0,Card,3
1046,01-09-2025,Kiran,Female,Nagpur,Clothing,Saree,3,4595.11,22,Card,4
1047,1/19/2025,Pooja,Female,Nagpur,Grocery,Oil,1,4162.94,26,Cash,4
1048,02-03-2025,Amit,Female,Nagpur,Grocery,Sugar,5,2158.86,27,UPI,3
1049,02-04-2025,Amit,Female,Nashik,Electronics,Keyboard,1,3222.58,3,UPI,3
1050,1/29/2025,Sameer,Female,Pune,Grocery,Oil,1,2465.42,11,UPI,5
1051,1/17/2025,Pooja,Female,Nashik,Electronics,Mouse,2,440.66,5,UPI,5
1052,2/18/2025,Rahul,Female,Pune,Electronics,Charger,2,2344.24,24,Cash,3
1053,2/25/2025,Pooja,Female,Nashik,Grocery,Sugar,2,550.82,3,Card,3
1054,1/21/2025,Neha,Male,Nashik,Grocery,Sugar,3,4666.87,29,Cash,4
